lemma,stem,part_of_speech_id
aanjichigaade,aanjichigaade,vii
aanjichigaazo,aanjichigaazo,vai
aanjichige,aanjichige,vai
aanjidaabaadan,aanjidaabaad,vti
aanjidaabaade,aanjidaabaade,vii
aanjidaabaane,aanjidaabaane,vai
aanjigaabawi,aanjigaabawi,vai
aanjige,aanjige,vai
aanjigiboodiyegwaazone,aanjigiboodiyegwaazone,vai
aanjigondaagane,aanjigondaagane,vai
aanjigozi,aanjigozi,vai
aanjigwaadan,aanjigwaad,vti
aanjigwaade,aanjigwaade,vii
aanjigwaashkwani,aanjigwaashkwani,vai
aanjigwaaso,aanjigwaaso,vai
aanjigwaazh,aanjigwaaN,vta
aanjigwaazo,aanjigwaazo,vai
aanjigwane,aanjigwane,vai
aanjikwanaye,aanjikwanaye,vai
aanjinaagwad,aanjinaagwad,vii
aanjinikaadan,aanjinikaad,vti
aanjinikaade,aanjinikaade,vii
aanjinikaazh,aanjinikaaN,vta
aanjinikaazo,aanjinikaazo,vai
aanjininiiwe,aanjininiiwe,vai
aanjise,aanjise,vai
aanjise,aanjise,vii
aanjishim,aanjishim,vta
aanjishin,aanjishin,vai
aanjisidoon,aanjisid,vti2
aanjisin,aanjisin,vii
aanjitoon,aanjit,vti2
aanjitwaa,aanjitwaa,vai
aanjiwidoon,aanjiwid,vti2
aanjiwizh,aanjiwiN,vta
aanwaakoshin,aanwaakoshin,vai
aanwetaw,aanwetaw,vta
aanzanaamo,aanzanaamo,vai
aanzikan,aanzik,vti
aanzikaw,aanzikaw,vta
aanzikonaye',aanzikonaye',vta
aanzikonaye,aanzikonaye,vai
aanzinaago',aanzinaago',vta
aanzinaago'idizo,aanzinaago'idizo,vai
aanzinaagotoon,aanzinaagot,vti2
aanzinaagozi,aanzinaagozi,vai
aanzinaagwad,aanzinaagwad,vii
aapida'oode,aapida'oode,vii
aapida'oodoon,aapida'ood,vti2
aapida'oozh,aapida'ooN,vta
aapida'oozo,aapida'oozo,vai
aapidaakizige,aapidaakizige,vai
aapidaandawe,aapidaandawe,vai
aapidabi,aapidabi,vai
aapidabiitaage,aapidabiitaage,vai
aapidabiitaw,aapidabiitaw,vta
aapidademo,aapidademo,vai
aapidagoozi,aapidagoozi,vai
aapidanaamo,aapidanaamo,vai
aapidanaamose,aapidanaamose,vai
aapidapide,aapidapide,vii
aapidapidoon,aapidapid,vti2
aapidapizh,aapidapiN,vta
aapidapizo,aapidapizo,vai
aapidendi,aapidendi,vai
aapidingwaam,aapidingwaam,vai
aapidingwaami,aapidingwaami,vai
aapiji-wiidige,aapijiwiidige,vai
aapijibatoo,aapijibatoo,vai
aapijibide,aapijibide,vii
aapijibizo,aapijibizo,vai
aapijigise,aapijigise,vii
aapijinazh,aapijinaN,vta
aapijinizhimo,aapijinizhimo,vai
aapijise,aapijise,vii
aapijishin,aapijishin,vai
aapijiskwagizi,aapijiskwagizi,vai
aasaakamigokamigaa,aasaakamigokamigaa,vii
aasamaakwaa,aasamaakwaa,vii
aasamaate,aasamaate,vii
aasamaateshim,aasamaateshim,vta
aasamaateshin,aasamaateshin,vai
aasamaatesidoon,aasamaatesid,vti2
aasamaatesin,aasamaatesin,vii
aasamishim,aasamishim,vta
aasamishin,aasamishin,vai
aasamisidoon,aasamisid,vti2
aasamisin,aasamisin,vii
aason,aason,vta
aasonamaw,aasonamaw,vta
aasonan,aasonan,vti
aasonigaade,aasonigaade,vii
aasonige,aasonige,vai
aasoshim,aasoshim,vta
aasoshin,aasoshin,vai
aasosidoon,aasosid,vti2
aaswaakogaabawi,aaswaakogaabawi,vai
aaswaakoshim,aaswaakoshim,vta
aaswaakoshin,aaswaakoshin,vai
aaswaakosidoon,aaswaakosid,vti2
aaswaakosin,aaswaakosin,vii
aaswaakwa',aaswaakwa'w,vta
aaswaakwa'an,aaswaakwa',vti
aaswaawiganeshin,aaswaawiganeshin,vai
aaswabi,aaswabi,vai
aatawe'an,aatawe',vti
aatawe'ige,aatawe'ige,vai
aatawe'ishkodawe,aatawe'ishkodawe,vai
aatawe,aatawe,vii
aatawebidoon,aatawebid,vti2
aatawenamaw,aatawenamaw,vta
aatawenan,aatawen,vti
aatawese,aatawese,vii
aataweshkan,aataweshk,vti
aataweyaabikinan,aataweyaabikin,vti
aataweyaabikisin,aataweyaabikisin,vii
aate'an,aate',vti
aate'ige,aate'ige,vai
aate,aate,vii
aatebidoon,aatebid,vti2
aatebii,aatebii,vai
aatebizh,aatebiN,vta
aatenaagozi,aatenaagozi,vai
aateshkodawe,aateshkodawe,vai
aatewebinan,aatewebin,vti
aateyaashi,aateyaashi,vai
aateyaasin,aateyaasin,vii
aatwaakogaabawi,aatwaakogaabawi,vai
aatwaakoshim,aatwaakoshim,vta
aatwaakoshin,aatwaakoshin,vai
aatwaakosidoon,aatwaakosid,vti2
aatwaakosin,aatwaakosin,vii
aatwaakowebin,aatwaakowebin,vta
aatwaakowebinan,aatwaakowebin,vti
aatwaakwabi,aatwaakwabi,vai
aawada'oodoo,aawada'oodoo,vai
aawada'oodoon,aawada'ood,vti2
aawada'oozh,aawada'ooN,vta
aawadaaso,aawadaaso,vai
