Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlProx,Sim,,ganawaabamaadaanig,<<ganawaabam>>aadaanig,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgObv,Sim,,ganawaabamimaadaa,<<ganawaabam>>imaadaa,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3PlObv,Sim,,ganawaabamimaadaa,<<ganawaabam>>imaadaa,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_C,ganawaabam,ganawaabam,Incl,3SgProx,Sim,,ganawaabamaadaa,<<ganawaabam>>aadaa,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,1Sg,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,1Sg,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,Excl,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,Excl,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3PlProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3SgObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3PlObv,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3SgProx,Del,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,1Sg,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,1Sg,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,Excl,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,Excl,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3PlProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3SgObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3PlObv,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,Incl,3SgProx,Prb,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,1Sg,Sim,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgObv,Sim,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlObv,Sim,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3SgProx,Sim,,mawadisik,<<mawadis>>ik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Pl,3PlProx,Sim,,mawadisik,<<mawadis>>ik,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,1Sg,Sim,,mawadishishin,<<mawadish>>i1shin,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgObv,Sim,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlObv,Sim,,MISSING,,,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3SgProx,Sim,,mawadish,<<mawadish>>i1,JDN-2010-MS-VTA-p20,,,,,,
VTA,Imp,VTA_s,mawadish,mawadis1,2Sg,3PlProx,Sim,,mawadish,<<mawadish>>i1,JDN-2010-MS-VTA-p20,,,,,,
