Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Neu,Pos,bangisin,<<bangisin>>,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Neu,Neg,bangisinzininiwan,<<bangisin>>zininiwan,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Neu,Neg,bangisinzinoon,<<bangisin>>zinoon,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Neu,Neg,bangisinzinini,<<bangisin>>zininiw,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Neu,Neg,bangisinzinoon,<<bangisin>>zinoon,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Prt,Pos,bangisininiibaniin,<<bangisin>>iniibaniin,JDN-2010-MS-VII-p6,bangisininiibanen,<<bangisin>>iniibanen,JDN-2010-MS-VII-p6
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Prt,Pos,bangisinoobaniin,<<bangisin>>oobaniin,JDN-2010-MS-VII-p6,bangisinoobanen,<<bangisin>>oobanen,JDN-2010-MS-VII-p6
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Prt,Pos,bangisininiiban,<<bangisin>>iniiban,JDN-2010-MS-VII-p6,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Prt,Pos,bangisinooban,<<bangisin>>ooban,JDN-2010-MS-VII-p6,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Prt,Neg,bangisinzininiibaniin,<<bangisin>>zininiibaniin,JDN-2010-MS-VII-p7,bangisinzininiibanen,<<bangisin>>zininiibanen,JDN-2010-MS-VII-p7
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Prt,Neg,bangisinzinoobaniin,<<bangisin>>zinoobaniin,JDN-2010-MS-VII-p7,bangisinzinoobanen,<<bangisin>>zinoobanen,JDN-2010-MS-VII-p7
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Prt,Neg,bangisinzininiiban,<<bangisin>>zininiiban,JDN-2010-MS-VII-p7,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Prt,Neg,bangisinzinooban,<<bangisin>>zinooban,JDN-2010-MS-VII-p7,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Dub,Pos,bangisininiwidogen,<<bangisin>>iniwidogen,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Dub,Pos,bangisinodogen,<<bangisin>>odogen,JDN-2010-MS-VII-p8,,,
