Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,Neu,Pos,wanishinaan,<<wanishin>>aan,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,Neu,Pos,webinigeyaan,<<webinige>>yaan,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,Neu,Pos,zaaga'amaan,<<zaaga'>>amaan,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,Prt,Neg,maajiibatoosiwaambaan,<<maajiibatoo>>siwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,Prt,Neg,madaabiisiwaambaan,<<madaabii>>siwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,Prt,Neg,minongwaanziwaambaan,<<minongwaan>>ziwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,Prt,Neg,nagamosiwaambaan,<<nagamo>>siwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,Prt,Neg,nibaasiwaambaan,<<nibaa>>siwaambaan,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,Prt,Neg,niimisiwaambaan,<<niimi>>siwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,Prt,Neg,wanishinziwaambaan,<<wanishin>>ziwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,Prt,Neg,webinigesiwaambaan,<<webinige>>siwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,Prt,Neg,zaaga'anziwaambaan,<<zaaga'>>anziwaambaan,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,1Sg,,Prt,Pos,maajiibatooyaambaan,<<maajiibatoo>>yaambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,1Sg,,Prt,Pos,madaabiiyaambaan,<<madaabii>>yaambaan,JDN-2010-MS-VAI-p27,,,
