Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Ind,VAI_VV,nibaa,nibaa,3SgObv,NA,Dub,Neg,nibaasiidogenan,<<nibaa>>siidogenan,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3SgProx,NA,Dub,Neg,nibaasiidog,<<nibaa>>siidog,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Excl,NA,Dub,Neg,ninibaasiiminaadog,ni<<nibaa>>siiminaadog,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Incl,NA,Dub,Neg,ginibaasiiminaadog,gi<<nibaa>>siiminaadog,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,X,NA,Dub,Neg,nibaasiimwaadog,<<nibaa>>siimwaadog,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p16,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,1Sg,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,2Pl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,2Sg,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3PlObv,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3PlProx,NA,DubPrt,Pos,nibaagwaaban,<<nibaa>>gwaaban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3SgObv,NA,DubPrt,Pos,nibaanigoban,<<nibaa>>nigoban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3SgProx,NA,DubPrt,Pos,nibaagoban,<<nibaa>>goban,JDN-2010-MS-VAI-p19,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Excl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Incl,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,X,NA,DubPrt,Pos,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,1Sg,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,2Pl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,2Sg,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3PlObv,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3PlProx,NA,DubPrt,Neg,nibaasiigwaaban,<<nibaa>>siigwaaban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3SgObv,NA,DubPrt,Neg,nibaasiinigoban,<<nibaa>>siinigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,3SgProx,NA,DubPrt,Neg,nibaasiigoban,<<nibaa>>siigoban,JDN-2010-MS-VAI-p20,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Excl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,Incl,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_VV,nibaa,nibaa,X,NA,DubPrt,Neg,MISSING,,,,,,,,
VAI,Ind,VAI_V,niimi,niimi,1Sg,NA,Neu,Pos,niniim,ni<<niim>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Pl,NA,Neu,Pos,giniimim,gi<<niimi>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Sg,NA,Neu,Pos,giniim,gi<<niim>>,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3PlObv,NA,Neu,Pos,niimiwa',<<niimi>>wa',GUESS,niimiwan,<<niimi>>wan,JDN-2010-MS-VAI-p7,,,
VAI,Ind,VAI_V,niimi,niimi,3PlProx,NA,Neu,Pos,niimiwag,<<niimi>>wag,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3SgObv,NA,Neu,Pos,niimiwan,<<niimi>>wan,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3SgProx,NA,Neu,Pos,niimi,<<niimi>>w,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Excl,NA,Neu,Pos,niniimimin,ni<<niimi>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Incl,NA,Neu,Pos,giniimimin,gi<<niimi>>min,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,X,NA,Neu,Pos,niimim,<<niimi>>m,JDN-2010-MS-VAI-p7,,,,,,
VAI,Ind,VAI_V,niimi,niimi,1Sg,NA,Neu,Neg,niniimisii,ni<<niimi>>sii,JDN-2010-MS-VAI-p8,niniimisiin,ni<<niimi>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_V,niimi,niimi,2Pl,NA,Neu,Neg,giniimisiim,gi<<niimi>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Sg,NA,Neu,Neg,giniimisii,gi<<niimi>>sii,JDN-2010-MS-VAI-p8,giniimisiin,gi<<niimi>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_V,niimi,niimi,3PlObv,NA,Neu,Neg,niimisiiwa',<<niimi>>siiwa',GUESS,niimisiiwan,<<niimi>>siiwan,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_V,niimi,niimi,3PlProx,NA,Neu,Neg,niimisiiwag,<<niimi>>siiwag,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3SgObv,NA,Neu,Neg,niimisiiwan,<<niimi>>siiwan,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3SgProx,NA,Neu,Neg,niimisii,<<niimi>>sii,JDN-2010-MS-VAI-p8,niimisiin,<<niimi>>siin,JDN-2010-MS-VAI-p8,,,
VAI,Ind,VAI_V,niimi,niimi,Excl,NA,Neu,Neg,niniimisiimin,ni<<niimi>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Incl,NA,Neu,Neg,giniimisiimin,gi<<niimi>>siimin,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,X,NA,Neu,Neg,niimisiim,<<niimi>>siim,JDN-2010-MS-VAI-p8,,,,,,
VAI,Ind,VAI_V,niimi,niimi,1Sg,NA,Prt,Pos,niniiminaaban,ni<<niimi>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Pl,NA,Prt,Pos,giniimimwaaban,gi<<niimi>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Sg,NA,Prt,Pos,giniiminaaban,gi<<niimi>>naaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3PlObv,NA,Prt,Pos,niimiibanii',<<niimi>>ibanii',GUESS,niimiibaniin,<<niimi>>ibaniin,JDN-2010-MS-VAI-p11,niimiibanen,<<niimi>>ibanen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_V,niimi,niimi,3PlProx,NA,Prt,Pos,niimiibaniig,<<niimi>>ibaniig,JDN-2010-MS-VAI-p11,,,,niimiibaneg,<<niimi>>ibaneg,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_V,niimi,niimi,3SgObv,NA,Prt,Pos,niimiibaniin,<<niimi>>ibaniin,JDN-2010-MS-VAI-p11,,,,niimiibanen,<<niimi>>ibanen,JDN-2010-MS-VAI-p11
VAI,Ind,VAI_V,niimi,niimi,3SgProx,NA,Prt,Pos,niimiiban,<<niimi>>iban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Excl,NA,Prt,Pos,niniimiminaaban,ni<<niimi>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Incl,NA,Prt,Pos,giniimiminaaban,gi<<niimi>>minaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,X,NA,Prt,Pos,niimimwaaban,<<niimi>>mwaaban,JDN-2010-MS-VAI-p11,,,,,,
VAI,Ind,VAI_V,niimi,niimi,1Sg,NA,Prt,Neg,niniimisiinaaban,ni<<niimi>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Pl,NA,Prt,Neg,giniimisiimwaaban,gi<<niimi>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Sg,NA,Prt,Neg,giniimisiinaaban,gi<<niimi>>siinaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3PlObv,NA,Prt,Neg,niimisiibanii',<<niimi>>siibanii',GUESS,niimisiibaniin,<<niimi>>siibaniin,JDN-2010-MS-VAI-p12,niimisiibanen,<<niimi>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_V,niimi,niimi,3PlProx,NA,Prt,Neg,niimisiibaniig,<<niimi>>siibaniig,JDN-2010-MS-VAI-p12,,,,niimisiibaneg,<<niimi>>siibaneg,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_V,niimi,niimi,3SgObv,NA,Prt,Neg,niimisiibaniin,<<niimi>>siibaniin,JDN-2010-MS-VAI-p12,,,,niimisiibanen,<<niimi>>siibanen,JDN-2010-MS-VAI-p12
VAI,Ind,VAI_V,niimi,niimi,3SgProx,NA,Prt,Neg,niimisiiban,<<niimi>>siiban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Excl,NA,Prt,Neg,niniimisiiminaaban,ni<<niimi>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,Incl,NA,Prt,Neg,giniimisiiminaaban,gi<<niimi>>siiminaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,X,NA,Prt,Neg,niimisiimwaaban,<<niimi>>siimwaaban,JDN-2010-MS-VAI-p12,,,,,,
VAI,Ind,VAI_V,niimi,niimi,1Sg,NA,Dub,Pos,niniiminaadog,ni<<niimi>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Pl,NA,Dub,Pos,giniimimwaadog,gi<<niimi>>mwaadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_V,niimi,niimi,2Sg,NA,Dub,Pos,giniiminaadog,gi<<niimi>>naadog,JDN-2010-MS-VAI-p15,,,,,,
VAI,Ind,VAI_V,niimi,niimi,3PlObv,NA,Dub,Pos,niimidogena',<<niimi>>dogena',GUESS,niimiwidogenan,<<niimi>>widogenan,JDN-2010-MS-VAI-p15,niimiwidogena',<<niimi>>widogena',JDN-2010-MS-VAI-p15
VAI,Ind,VAI_V,niimi,niimi,3PlProx,NA,Dub,Pos,niimiwidogenag,<<niimi>>widogenag,JDN-2010-MS-VAI-p15,niimidogenag,<<niimi>>dogenag,JDN-2010-MS-VAI-p15,,,
