Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VII,Cnj,VII_V,dakaagami,dakaagami,0SgObv/0PlObv,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_V,dakaagami,dakaagami,0SgProx/0PlProx,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Neu,Pos,gonzaabiinig,<<gonzaabii>>nig,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Neu,Pos,gonzaabiig,<<gonzaabii>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Neu,Neg,gonzaabiisininig,<<gonzaabii>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Neu,Neg,gonzaabiisinog,<<gonzaabii>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Prt,Pos,gonzaabiinigiban,<<gonzaabii>>nigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Prt,Pos,gonzaabiigiban,<<gonzaabii>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Prt,Neg,gonzaabiisininigiban,<<gonzaabii>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Prt,Neg,gonzaabiisinoogiban,<<gonzaabii>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Dub,Pos,gonzaabiinigwen,<<gonzaabii>>nigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Dub,Pos,gonzaabiigwen,<<gonzaabii>>gwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,Dub,Neg,gonzaabiisininiigwen,<<gonzaabii>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,Dub,Neg,gonzaabiisinoogwen,<<gonzaabii>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,DubPrt,Pos,gonzaabiinigobanen,<<gonzaabii>>nigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,DubPrt,Pos,gonzaabiigobanen,<<gonzaabii>>gobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgObv/0PlObv,NA,DubPrt,Neg,gonzaabiisininigobanen,<<gonzaabii>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_VV,gonzaabii,gonzaabii,0SgProx/0PlProx,NA,DubPrt,Neg,gonzaabiisinoogobanen,<<gonzaabii>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Neu,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Neu,Pos,inamog,<<inamo>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Neu,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Neu,Neg,inamosinog,<<inamo>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Prt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Prt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Dub,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,Dub,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,DubPrt,Pos,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgObv/0PlObv,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_V,inamo,inamo,0SgProx/0PlProx,NA,DubPrt,Neg,MISSING,,
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Neu,Pos,michaanig,<<michaa>>nig,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Neu,Pos,michaag,<<michaa>>g,JDN-2010-MS-VII-p14
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Neu,Neg,michaasininig,<<michaa>>sininig,JDN-2010-MS-VII-p15
