Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,FormSurface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,ExclObj,Neu,Neg,waabamigosiwaang,<<waabam>>igosiwaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,0SgSubj,InclObj,Neu,Neg,waabamigosiwang,<<waabam>>igosiwang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,2PlObj,Neu,Neg,waabamisinonagog,<<waabam>>isinonagog,NJ-ngs-2023-Aug19,waabamisinowagog,<<waabam>>isinowagog,JRV-Web-ANISH
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,2SgObj,Neu,Neg,waabamisinowaan,<<waabam>>isinowaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3PlObvObj,Neu,Neg,waabamimaasiwag,<<waabam>>imaasiwag,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3PlProxObj,Neu,Neg,waabamaasiwagwaa,<<waabam>>aasiwagwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3SgObvObj,Neu,Neg,waabamimaasiwag,<<waabam>>imaasiwag,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3SgProxObj,Neu,Neg,waabamaasiwag,<<waabam>>aasiwag,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,2PlObj,Neu,Pos,waabaminagog,<<waabam>>inagog,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,2SgObj,Neu,Pos,waabaminaan,<<waabam>>inaan,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3PlObvObj,Neu,Pos,waabamimag,<<waabam>>imag,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3PlProxObj,Neu,Pos,waabamagwaa,<<waabam>>agwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3SgObvObj,Neu,Pos,waabamimag,<<waabam>>imag,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,1SgSubj,3SgProxObj,Neu,Pos,waabamag,<<waabam>>ag,NJ-ngs-2023-Aug19,,,
