Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0SgObj,Dub,Neg,giwanitoosiinaadog,gi<<wanit>>oosiinaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlObvSubj,0SgObj,Dub,Neg,odayaasiininaadog,o<<ayaa>>siininaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlObvSubj,0SgObj,Dub,Neg,owaabandanziininaadog,o<<waaband>>anziininaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlObvSubj,0SgObj,Dub,Neg,omiijisiininaadog,o<<miiji>>siininaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlObvSubj,0SgObj,Dub,Neg,owanitoosiininaadog,o<<wanit>>oosiininaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlProxSubj,0SgObj,Dub,Neg,odayaasiinaawaadog,o<<ayaa>>siinaawaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlProxSubj,0SgObj,Dub,Neg,owaabandanziinaawaadog,o<<waaband>>anziinaawaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlProxSubj,0SgObj,Dub,Neg,omiijisiinaawaadog,o<<miiji>>siinaawaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlProxSubj,0SgObj,Dub,Neg,owanitoosiinaawaadog,o<<wanit>>oosiinaawaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3SgObvSubj,0SgObj,Dub,Neg,odayaasiininaadog,o<<ayaa>>siininaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3SgObvSubj,0SgObj,Dub,Neg,owaabandanziininaadog,o<<waaband>>anziininaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3SgObvSubj,0SgObj,Dub,Neg,omiijisiininaadog,o<<miiji>>siininaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3SgObvSubj,0SgObj,Dub,Neg,owanitoosiininaadog,o<<wanit>>oosiininaadog,JDN-2010-MS-VTI-p18,,,,,,
