Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,3SgProxSubj,NONE,Dub,Neg,nagamosiigwen,<<nagamo>>siigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,3SgProxSubj,NONE,Dub,Neg,niimisiigwen,<<niimi>>siigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,3SgProxSubj,NONE,Dub,Neg,maajiibatoosiigwen,<<maajiibatoo>>siigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,3SgProxSubj,NONE,Dub,Neg,madaabiisiigwen,<<madaabii>>siigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,3SgProxSubj,NONE,Dub,Neg,nibaasiigwen,<<nibaa>>siigwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,3SgProxSubj,NONE,Dub,Neg,webinigesiigwen,<<webinige>>siigwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,ExclSubj,NONE,Dub,Neg,zaaga'anziiwaangen,<<zaaga'>>anziiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,ExclSubj,NONE,Dub,Neg,minongwaanziiwaangen,<<minongwaan>>ziiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,ExclSubj,NONE,Dub,Neg,wanishinziiwaangen,<<wanishin>>ziiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,ExclSubj,NONE,Dub,Neg,nagamosiiwaangen,<<nagamo>>siiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,ExclSubj,NONE,Dub,Neg,niimisiiwaangen,<<niimi>>siiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,ExclSubj,NONE,Dub,Neg,maajiibatoosiiwaangen,<<maajiibatoo>>siiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,ExclSubj,NONE,Dub,Neg,madaabiisiiwaangen,<<madaabii>>siiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,ExclSubj,NONE,Dub,Neg,nibaasiiwaangen,<<nibaa>>siiwaangen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,ExclSubj,NONE,Dub,Neg,webinigesiiwaangen,<<webinige>>siiwaangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,InclSubj,NONE,Dub,Neg,zaaga'anziiwangen,<<zaaga'>>anziiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,InclSubj,NONE,Dub,Neg,minongwaanziiwangen,<<minongwaan>>ziiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,InclSubj,NONE,Dub,Neg,wanishinziiwangen,<<wanishin>>ziiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,InclSubj,NONE,Dub,Neg,nagamosiiwangen,<<nagamo>>siiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,InclSubj,NONE,Dub,Neg,niimisiiwangen,<<niimi>>siiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,InclSubj,NONE,Dub,Neg,maajiibatoosiiwangen,<<maajiibatoo>>siiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,InclSubj,NONE,Dub,Neg,madaabiisiiwangen,<<madaabii>>siiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,InclSubj,NONE,Dub,Neg,nibaasiiwangen,<<nibaa>>siiwangen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,InclSubj,NONE,Dub,Neg,webinigesiiwangen,<<webinige>>siiwangen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,XSubj,NONE,Dub,Neg,zaaga'anziiwiingen,<<zaaga'>>anziiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,XSubj,NONE,Dub,Neg,minongwaanziiwiingen,<<minongwaan>>ziiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,XSubj,NONE,Dub,Neg,wanishinziiwiingen,<<wanishin>>ziiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,XSubj,NONE,Dub,Neg,nagamosiiwiingen,<<nagamo>>siiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,XSubj,NONE,Dub,Neg,niimisiiwiingen,<<niimi>>siiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,XSubj,NONE,Dub,Neg,maajiibatoosiiwiingen,<<maajiibatoo>>siiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,NONE,XSubj,NONE,Dub,Neg,madaabiisiiwiingen,<<madaabii>>siiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,NONE,XSubj,NONE,Dub,Neg,nibaasiiwiingen,<<nibaa>>siiwiingen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,NONE,XSubj,NONE,Dub,Neg,webinigesiiwiingen,<<webinige>>siiwiingen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',NONE,1SgSubj,NONE,Dub,Pos,zaaga'amowaanen,<<zaaga'>>amowaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,NONE,1SgSubj,NONE,Dub,Pos,minongwaamowaanen,<<minongwaam>>owaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_n,wanishin,wanishin,NONE,1SgSubj,NONE,Dub,Pos,wanishinowaanen,<<wanishin>>owaanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,nagamo,nagamo,NONE,1SgSubj,NONE,Dub,Pos,nagamowaanen,<<nagamo>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,niimi,niimi,NONE,1SgSubj,NONE,Dub,Pos,niimiwaanen,<<niimi>>waanen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,NONE,1SgSubj,NONE,Dub,Pos,maajiibatoowaanen,<<maajiibatoo>>waanen,JDN-2010-MS-VAI-p31,,,
