Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,odishkodensimining,o<<ishkodew2>>nsimining,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,odishkodensimining,o<<ishkodew2>>nsimining,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,NONE,Pej,NONE,Pl,nindishkodewishan,ni<<ishkodew2>>ishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,NONE,Pej,NONE,Pl,nindishkodewishinaanin,ni<<ishkodew2>>ishinaanin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,NONE,Pej,NONE,Pl,gidishkodewishinaanin,gi<<ishkodew2>>ishinaanin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,NONE,Pej,NONE,Pl,gidishkodewishan,gi<<ishkodew2>>ishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,NONE,Pej,NONE,Pl,gidishkodewishiwaan,gi<<ishkodew2>>ishiwaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,odishkodewishan,o<<ishkodew2>>ishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,odishkodewishiwaan,o<<ishkodew2>>ishiwaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,odishkodewishini,o<<ishkodew2>>ishini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,odishkodewishini,o<<ishkodew2>>ishini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,NONE,Pej,NONE,Sg,nindishkodewish,ni<<ishkodew2>>ish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,NONE,Pej,NONE,Sg,nindishkodewishinaan,ni<<ishkodew2>>ishinaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,NONE,Pej,NONE,Sg,gidishkodewishinaan,gi<<ishkodew2>>ishinaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,NONE,Pej,NONE,Sg,gidishkodewish,gi<<ishkodew2>>ish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,NONE,Pej,NONE,Sg,gidishkodewishiwaa,gi<<ishkodew2>>ishiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Sg,odishkodewish,o<<ishkodew2>>ish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,NONE,Pej,NONE,Sg,odishkodewishiwaa,o<<ishkodew2>>ishiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,NONE,Pej,NONE,Sg,odishkodewishini,o<<ishkodew2>>ishini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,NONE,Pej,NONE,Sg,odishkodewishini,o<<ishkodew2>>ishini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,NONE,Pej,NONE,Loc,nindishkodewishing,ni<<ishkodew2>>ishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,NONE,Pej,NONE,Loc,nindishkodewishinaang,ni<<ishkodew2>>ishinaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,NONE,Pej,NONE,Loc,gidishkodewishinaang,gi<<ishkodew2>>ishinaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,NONE,Pej,NONE,Loc,gidishkodewishing,gi<<ishkodew2>>ishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,NONE,Pej,NONE,Loc,gidishkodewishiwaang,gi<<ishkodew2>>ishiwaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,odishkodewishing,o<<ishkodew2>>ishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,odishkodewishiwaang,o<<ishkodew2>>ishiwaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,odishkodewishining,o<<ishkodew2>>ishining,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,odishkodewishining,o<<ishkodew2>>ishining,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,Poss,Pej,NONE,Pl,nindishkodemishan,ni<<ishkodew2>>mishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,Poss,Pej,NONE,Pl,nindishkodemishinaanin,ni<<ishkodew2>>mishinaanin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,Poss,Pej,NONE,Pl,gidishkodemishinaanin,gi<<ishkodew2>>mishinaanin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,Poss,Pej,NONE,Pl,gidishkodemishan,gi<<ishkodew2>>mishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,Poss,Pej,NONE,Pl,gidishkodemishiwaan,gi<<ishkodew2>>mishiwaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,Poss,Pej,NONE,Pl,odishkodemishan,o<<ishkodew2>>mishan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,Poss,Pej,NONE,Pl,odishkodemishiwaan,o<<ishkodew2>>mishiwaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,Poss,Pej,NONE,Pl,odishkodemishini,o<<ishkodew2>>mishini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,Poss,Pej,NONE,Pl,odishkodemishini,o<<ishkodew2>>mishini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,Poss,Pej,NONE,Sg,nindishkodemish,ni<<ishkodew2>>mish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,Poss,Pej,NONE,Sg,nindishkodemishinaan,ni<<ishkodew2>>mishinaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,Poss,Pej,NONE,Sg,gidishkodemishinaan,gi<<ishkodew2>>mishinaan,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,Poss,Pej,NONE,Sg,gidishkodemish,gi<<ishkodew2>>mish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,Poss,Pej,NONE,Sg,gidishkodemishiwaa,gi<<ishkodew2>>mishiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,Poss,Pej,NONE,Sg,odishkodemish,o<<ishkodew2>>mish,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,Poss,Pej,NONE,Sg,odishkodemishiwaa,o<<ishkodew2>>mishiwaa,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,Poss,Pej,NONE,Sg,odishkodemishini,o<<ishkodew2>>mishini,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,Poss,Pej,NONE,Sg,odishkodemishini,o<<ishkodew2>>mishini,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,Poss,Pej,NONE,Loc,nindishkodemishing,ni<<ishkodew2>>mishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,Poss,Pej,NONE,Loc,nindishkodemishinaang,ni<<ishkodew2>>mishinaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,Poss,Pej,NONE,Loc,gidishkodemishinaang,gi<<ishkodew2>>mishinaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,Poss,Pej,NONE,Loc,gidishkodemishing,gi<<ishkodew2>>mishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,Poss,Pej,NONE,Loc,gidishkodemiwaang,gi<<ishkodew2>>miwaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,odishkodemishing,o<<ishkodew2>>mishing,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odishkodemishiwaang,o<<ishkodew2>>mishiwaang,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odishkodemishining,o<<ishkodew2>>mishining,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odishkodemishining,o<<ishkodew2>>mishining,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,NONE,NONE,Pret,Pl,nindishkodebaniin,ni<<ishkodew2>>baniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,NONE,NONE,Pret,Pl,nindishkodenaabaniin,ni<<ishkodew2>>naabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,NONE,NONE,Pret,Pl,gidishkodenaabaniin,gi<<ishkodew2>>naabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,NONE,NONE,Pret,Pl,gidishkodebaniin,gi<<ishkodew2>>baniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,NONE,NONE,Pret,Pl,gidishkodewaabaniin,gi<<ishkodew2>>waabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,NONE,NONE,Pret,Pl,odishkodebaniin,o<<ishkodew2>>baniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,NONE,NONE,Pret,Pl,odishkodewaabaniin,o<<ishkodew2>>waabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,NONE,NONE,Pret,Pl,odishkodeniban,o<<ishkodew2>>niban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,NONE,NONE,Pret,Pl,odishkodeniban,o<<ishkodew2>>niban,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,NONE,NONE,Pret,Sg,nindishkodeban,ni<<ishkodew2>>ban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,NONE,NONE,Pret,Sg,nindishkodenaaban,ni<<ishkodew2>>naaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,NONE,NONE,Pret,Sg,gidishkodenaaban,gi<<ishkodew2>>naaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,NONE,NONE,Pret,Sg,gidishkodeban,gi<<ishkodew2>>ban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,NONE,NONE,Pret,Sg,gidishkodewaaban,gi<<ishkodew2>>waaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,NONE,NONE,Pret,Sg,odishkodeban,o<<ishkodew2>>ban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,NONE,NONE,Pret,Sg,odishkodewaaban,o<<ishkodew2>>waaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,NONE,NONE,Pret,Sg,odishkodeniban,o<<ishkodew2>>niban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,NONE,NONE,Pret,Sg,odishkodeniban,o<<ishkodew2>>niban,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,Poss,NONE,Pret,Pl,nindishkodemibaniin,ni<<ishkodew2>>mibaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,Poss,NONE,Pret,Pl,nindishkodeminaabaniin,ni<<ishkodew2>>minaabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,Poss,NONE,Pret,Pl,gidishkodeminaabaniin,gi<<ishkodew2>>minaabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,Poss,NONE,Pret,Pl,gidishkodemibaniin,gi<<ishkodew2>>mibaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,Poss,NONE,Pret,Pl,gidishkodemiwaabaniin,gi<<ishkodew2>>miwaabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgProxPoss,NONE,Poss,NONE,Pret,Pl,odishkodemibaniin,o<<ishkodew2>>mibaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlProxPoss,NONE,Poss,NONE,Pret,Pl,odishkodemiwaabaniin,o<<ishkodew2>>miwaabaniin,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3SgObvPoss,NONE,Poss,NONE,Pret,Pl,odishkodeminiban,o<<ishkodew2>>miniban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,3PlObvPoss,NONE,Poss,NONE,Pret,Pl,odishkodeminiban,o<<ishkodew2>>miniban,GUESS
NI,NI_VV,ishkodew2,<<ishkodew2>>,1SgPoss,NONE,Poss,NONE,Pret,Sg,nindishkodemiban,ni<<ishkodew2>>miban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,ExclPoss,NONE,Poss,NONE,Pret,Sg,nindishkodeminaaban,ni<<ishkodew2>>minaaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,InclPoss,NONE,Poss,NONE,Pret,Sg,gidishkodeminaaban,gi<<ishkodew2>>minaaban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2SgPoss,NONE,Poss,NONE,Pret,Sg,gidishkodemiban,gi<<ishkodew2>>miban,JDN-2010-Nouns
NI,NI_VV,ishkodew2,<<ishkodew2>>,2PlPoss,NONE,Poss,NONE,Pret,Sg,gidishkodemiwaaban,gi<<ishkodew2>>miwaaban,JDN-2010-Nouns
