Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,opigaamishiwaang,w<<pigay>>aamishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,opigaamishining,w<<pigay>>aamishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,opigaamishining,w<<pigay>>aamishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,Pej,NONE,Loc,nipigayenzhishing,n<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,Pej,NONE,Loc,nipigayenzhishinaang,n<<pigay>>enzhishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishinaang,g<<pigay>>enzhishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishing,g<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,Pej,NONE,Loc,gipigayenzhishiwaang,g<<pigay>>enzhishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishing,w<<pigay>>enzhishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishiwaang,w<<pigay>>enzhishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishining,w<<pigay>>enzhishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,opigayenzhishining,w<<pigay>>enzhishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,Pej,NONE,Loc,nipigensimishing,n<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,Pej,NONE,Loc,nipigensimishinaang,n<<pigay>>ensimishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishinaang,g<<pigay>>ensimishinaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishing,g<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,Pej,NONE,Loc,gipigensimishiwaang,g<<pigay>>ensimishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,opigensimishing,w<<pigay>>ensimishing,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,opigensimishiwaang,w<<pigay>>ensimishiwaang,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,opigensimishining,w<<pigay>>ensimishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,opigensimishining,w<<pigay>>ensimishining,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,NONE,NONE,Pl,nipigayan,n<<pigay>>an,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,NONE,NONE,Pl,nipigaanaanin,n<<pigay>>aanaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,NONE,NONE,Pl,gipigaanaanin,g<<pigay>>aanaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,NONE,NONE,Pl,gipigayan,g<<pigay>>an,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,NONE,NONE,Pl,gipigaawaan,g<<pigay>>aawaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,opigayan,w<<pigay>>an,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,opigaawaan,w<<pigay>>aawaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,opigaani,w<<pigay>>aaniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,opigaani,w<<pigay>>aaniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,Poss,NONE,NONE,Pl,nipigaaman,n<<pigay>>aaman,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,Poss,NONE,NONE,Pl,nipigaaminaanin,n<<pigay>>aaminaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,Poss,NONE,NONE,Pl,gipigaaminaanin,g<<pigay>>aaminaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,Poss,NONE,NONE,Pl,gipigaaman,g<<pigay>>aaman,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,Poss,NONE,NONE,Pl,gipigaamiwaan,g<<pigay>>aamiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,opigaaman,w<<pigay>>aaman,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,opigaamiwaan,w<<pigay>>aamiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,opigaamini,w<<pigay>>aaminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,opigaamini,w<<pigay>>aaminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,NONE,NONE,Pl,nipigensan,n<<pigay>>ensan,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,NONE,NONE,Pl,nipigensinaanin,n<<pigay>>ensinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,NONE,NONE,Pl,gipigensinaanin,g<<pigay>>ensinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,NONE,NONE,Pl,gipigensan,g<<pigay>>ensan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,NONE,NONE,Pl,gipigensiwaan,g<<pigay>>ensiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,opigensan,w<<pigay>>ensan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,opigensiwaan,w<<pigay>>ensiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,opigensini,w<<pigay>>ensiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,opigensini,w<<pigay>>ensiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,NONE,NONE,Pl,nipigensiman,n<<pigay>>ensiman,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,NONE,NONE,Pl,nipigensiminaanin,n<<pigay>>ensiminaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,NONE,NONE,Pl,gipigensiminaanin,g<<pigay>>ensiminaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,NONE,NONE,Pl,gipigensiman,g<<pigay>>ensiman,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,NONE,NONE,Pl,gipigensimiwaan,g<<pigay>>ensimiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,opigensiman,w<<pigay>>ensiman,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,opigensimiwaan,w<<pigay>>ensimiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,opigensimini,w<<pigay>>ensiminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,opigensimini,w<<pigay>>ensiminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,Pej,NONE,Pl,nipigaashan,n<<pigay>>aashan,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,Pej,NONE,Pl,nipigaashinaanin,n<<pigay>>aashinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,Pej,NONE,Pl,gipigaashinaanin,g<<pigay>>aashinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,Pej,NONE,Pl,gipigaashan,g<<pigay>>aashan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,Pej,NONE,Pl,gipigaashiwaan,g<<pigay>>aashiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,opigaashan,w<<pigay>>aashan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,opigaashiwaan,w<<pigay>>aashiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,opigaashini,w<<pigay>>aashiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,opigaashini,w<<pigay>>aashiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,Poss,Pej,NONE,Pl,nipigaamishan,n<<pigay>>aamishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,Poss,Pej,NONE,Pl,nipigaamishinaanin,n<<pigay>>aamishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,Poss,Pej,NONE,Pl,gipigaamishinaanin,g<<pigay>>aamishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,Poss,Pej,NONE,Pl,gipigaamishan,g<<pigay>>aamishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,Poss,Pej,NONE,Pl,gipigaamishiwaan,g<<pigay>>aamishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,Poss,Pej,NONE,Pl,opigaamishan,w<<pigay>>aamishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,Pej,NONE,Pl,opigaamishiwaan,w<<pigay>>aamishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,Pej,NONE,Pl,opigaamishini,w<<pigay>>aamishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,Pej,NONE,Pl,opigaamishini,w<<pigay>>aamishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,Pej,NONE,Pl,nipigayenzhishan,n<<pigay>>enzhishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,Pej,NONE,Pl,nipigayenzhishinaanin,n<<pigay>>enzhishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,Pej,NONE,Pl,gipigayenzhishinaanin,g<<pigay>>enzhishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,Pej,NONE,Pl,gipigayenzhishan,g<<pigay>>enzhishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,Pej,NONE,Pl,gipigayenzhishiwaan,g<<pigay>>enzhishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,Pej,NONE,Pl,opigayenzhishan,w<<pigay>>enzhishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,Pej,NONE,Pl,opigayenzhishiwaan,w<<pigay>>enzhishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,Pej,NONE,Pl,opigayenzhishini,w<<pigay>>enzhishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,Pej,NONE,Pl,opigayenzhishini,w<<pigay>>enzhishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,Pej,NONE,Pl,nipigensimishan,n<<pigay>>ensimishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,Pej,NONE,Pl,nipigensimishinaanin,n<<pigay>>ensimishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,Pej,NONE,Pl,gipigensimishinaanin,g<<pigay>>ensimishinaanin,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,Pej,NONE,Pl,gipigensimishan,g<<pigay>>ensimishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,Pej,NONE,Pl,gipigensimishiwaan,g<<pigay>>ensimishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,Pej,NONE,Pl,opigensimishan,w<<pigay>>ensimishan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,Pej,NONE,Pl,opigensimishiwaan,w<<pigay>>ensimishiwaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,Pej,NONE,Pl,opigensimishini,w<<pigay>>ensimishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,Poss,Pej,NONE,Pl,opigensimishini,w<<pigay>>ensimishiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,NONE,NONE,NONE,Sg,nipigay,n<<pigay>>,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,NONE,NONE,NONE,Sg,nipigaanaan,n<<pigay>>aanaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,NONE,NONE,NONE,Sg,gipigaanaan,g<<pigay>>aanaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,NONE,NONE,NONE,Sg,gipigay,g<<pigay>>,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,NONE,NONE,NONE,Sg,gipigaawaa,g<<pigay>>aawaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,NONE,NONE,NONE,Sg,opigay,w<<pigay>>,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,NONE,NONE,NONE,Sg,opigaawaa,w<<pigay>>aawaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,NONE,NONE,NONE,Sg,opigaani,w<<pigay>>aaniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,NONE,NONE,NONE,Sg,opigaani,w<<pigay>>aaniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,NONE,Poss,NONE,NONE,Sg,nipigaam,n<<pigay>>aam,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,NONE,Poss,NONE,NONE,Sg,nipigaaminaan,n<<pigay>>aaminaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,NONE,Poss,NONE,NONE,Sg,gipigaaminaan,g<<pigay>>aaminaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,NONE,Poss,NONE,NONE,Sg,gipigaam,g<<pigay>>aam,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,NONE,Poss,NONE,NONE,Sg,gipigaamiwaa,g<<pigay>>aamiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,NONE,Poss,NONE,NONE,Sg,opigaam,w<<pigay>>aam,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,NONE,Poss,NONE,NONE,Sg,opigaamiwaa,w<<pigay>>aamiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,NONE,Poss,NONE,NONE,Sg,opigaamini,w<<pigay>>aaminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,NONE,Poss,NONE,NONE,Sg,opigaamini,w<<pigay>>aaminiw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,NONE,NONE,NONE,Sg,nipigens,n<<pigay>>ens,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,NONE,NONE,NONE,Sg,nipigensinaan,n<<pigay>>ensinaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,NONE,NONE,NONE,Sg,gipigensinaan,g<<pigay>>ensinaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,NONE,NONE,NONE,Sg,gipigens,g<<pigay>>ens,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,NONE,NONE,NONE,Sg,gipigensiwaa,g<<pigay>>ensiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,NONE,NONE,NONE,Sg,opigens,w<<pigay>>ens,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,NONE,NONE,NONE,Sg,opigensiwaa,w<<pigay>>ensiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,NONE,NONE,NONE,Sg,opigensini,w<<pigay>>ensiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlObvPoss,Dim,NONE,NONE,NONE,Sg,opigensini,w<<pigay>>ensiniw1,GUESS,,,
NAD,NAD_aa,pigay,pigay,1SgPoss,Dim,Poss,NONE,NONE,Sg,nipigensim,n<<pigay>>ensim,GUESS,,,
NAD,NAD_aa,pigay,pigay,ExclPoss,Dim,Poss,NONE,NONE,Sg,nipigensiminaan,n<<pigay>>ensiminaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,InclPoss,Dim,Poss,NONE,NONE,Sg,gipigensiminaan,g<<pigay>>ensiminaan,GUESS,,,
NAD,NAD_aa,pigay,pigay,2SgPoss,Dim,Poss,NONE,NONE,Sg,gipigensim,g<<pigay>>ensim,GUESS,,,
NAD,NAD_aa,pigay,pigay,2PlPoss,Dim,Poss,NONE,NONE,Sg,gipigensimiwaa,g<<pigay>>ensimiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgProxPoss,Dim,Poss,NONE,NONE,Sg,opigensim,w<<pigay>>ensim,GUESS,,,
NAD,NAD_aa,pigay,pigay,3PlProxPoss,Dim,Poss,NONE,NONE,Sg,opigensimiwaa,w<<pigay>>ensimiwaa,GUESS,,,
NAD,NAD_aa,pigay,pigay,3SgObvPoss,Dim,Poss,NONE,NONE,Sg,opigensimini,w<<pigay>>ensiminiw1,GUESS,,,
