Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,Pej,NONE,LocDist,nishkanzhiishikaang,n<<shkanzhy2>>iishikaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,Pej,NONE,LocDist,nishkanzhiimishikaang,n<<shkanzhy2>>iimishikaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,Pej,NONE,LocDist,nishkanzhiinzhishikaang,n<<shkanzhy2>>iinzhishikaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,Pej,NONE,LocDist,nishkanzhiinsimishikaang,n<<shkanzhy2>>iinsimishikaang,GUESS,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,Pret,ObvPl,nishkanzhiibanii',n<<shkanzhy2>>iibanii',JDN-2010-Nouns,nishkanzhiibaniin,n<<shkanzhy2>>iibaniin,JDN-2010-Nouns,nishkanzhiibanen,n<<shkanzhy2>>iibanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,Pret,ObvPl,nishkanzhiimibanii',n<<shkanzhy2>>iimibanii',JDN-2010-Nouns,nishkanzhiimibaniin,n<<shkanzhy2>>iimibaniin,JDN-2010-Nouns,nishkanzhiimibanen,n<<shkanzhy2>>iimibanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,Pret,ObvPl,nishkanzhiinsibanii',n<<shkanzhy2>>iinsibanii',JDN-2010-Nouns,nishkanzhiinsibaniin,n<<shkanzhy2>>iinsibaniin,JDN-2010-Nouns,nishkanzhiinsibanen,n<<shkanzhy2>>iinsibanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,Pret,ObvPl,nishkanzhiinsimibanii',n<<shkanzhy2>>iinsimibanii',JDN-2010-Nouns,nishkanzhiinsimibaniin,n<<shkanzhy2>>iinsimibaniin,JDN-2010-Nouns,nishkanzhiinsimibanen,n<<shkanzhy2>>iinsimibanen,GUESS
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,Pret,ObvSg,nishkanzhiibaniin,n<<shkanzhy2>>iibaniin,JDN-2010-Nouns,nishkanzhiibanen,n<<shkanzhy2>>iibanen,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,Pret,ObvSg,nishkanzhiimibaniin,n<<shkanzhy2>>iimibaniin,JDN-2010-Nouns,nishkanzhiimibanen,n<<shkanzhy2>>iimibanen,GUESS,,,
