Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,NONE,NONE,NONE,Pl,gigidigoonsan,g<<gidigw2>>oonsan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,NONE,NONE,NONE,Pl,gigidigoonsiwaan,g<<gidigw2>>oonsiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,ogidigoonsan,w<<gidigw2>>oonsan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,ogidigoonsiwaan,w<<gidigw2>>oonsiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,ogidigoonsini,w<<gidigw2>>oonsiniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,ogidigoonsini,w<<gidigw2>>oonsiniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,NONE,NONE,NONE,Sg,nigidigoons,n<<gidigw2>>oons,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,NONE,NONE,NONE,Sg,nigidigoonsinaan,n<<gidigw2>>oonsinaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,NONE,NONE,NONE,Sg,gigidigoonsinaan,g<<gidigw2>>oonsinaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,NONE,NONE,NONE,Sg,gigidigoons,g<<gidigw2>>oons,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,NONE,NONE,NONE,Sg,gigidigoonsiwaa,g<<gidigw2>>oonsiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,NONE,NONE,NONE,Sg,ogidigoons,w<<gidigw2>>oons,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,NONE,NONE,NONE,Sg,ogidigoonsiwaa,w<<gidigw2>>oonsiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,NONE,NONE,NONE,Sg,ogidigoonsini,w<<gidigw2>>oonsiniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,NONE,NONE,NONE,Sg,ogidigoonsini,w<<gidigw2>>oonsiniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,NONE,NONE,NONE,Loc,nigidigoonsing,n<<gidigw2>>oonsing,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,NONE,NONE,NONE,Loc,nigidigoonsinaang,n<<gidigw2>>oonsinaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,NONE,NONE,NONE,Loc,gigidigoonsinaang,g<<gidigw2>>oonsinaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,NONE,NONE,NONE,Loc,gigidigoonsing,g<<gidigw2>>oonsing,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,NONE,NONE,NONE,Loc,gigidigoonsiwaang,g<<gidigw2>>oonsiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,ogidigoonsing,w<<gidigw2>>oonsing,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,ogidigoonsiwaang,w<<gidigw2>>oonsiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,ogidigoonsining,w<<gidigw2>>oonsining,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,ogidigoonsining,w<<gidigw2>>oonsining,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,Poss,NONE,NONE,Pl,nigidigoonsiman,n<<gidigw2>>oonsiman,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,Poss,NONE,NONE,Pl,nigidigoonsiminaanin,n<<gidigw2>>oonsiminaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,Poss,NONE,NONE,Pl,gigidigoonsiminaanin,g<<gidigw2>>oonsiminaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,Poss,NONE,NONE,Pl,gigidigoonsiman,g<<gidigw2>>oonsiman,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,Poss,NONE,NONE,Pl,gigidigoonsimiwaan,g<<gidigw2>>oonsimiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,ogidigoonsiman,w<<gidigw2>>oonsiman,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,ogidigoonsimiwaan,w<<gidigw2>>oonsimiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,ogidigoonsimini,w<<gidigw2>>oonsiminiw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,ogidigoonsimini,w<<gidigw2>>oonsiminiw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,Poss,NONE,NONE,Sg,nigidigoonsim,n<<gidigw2>>oonsim,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,Poss,NONE,NONE,Sg,nigidigoonsiminaan,n<<gidigw2>>oonsiminaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,Poss,NONE,NONE,Sg,gigidigoonsiminaan,g<<gidigw2>>oonsiminaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,Poss,NONE,NONE,Sg,gigidigoonsim,g<<gidigw2>>oonsim,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,Poss,NONE,NONE,Sg,gigidigoonsimiwaa,g<<gidigw2>>oonsimiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,Poss,NONE,NONE,Sg,ogidigoonsim,w<<gidigw2>>oonsim,JDN-2010-Nouns
