Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishiwaang,o<<aniibiishibagw2>>omishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishining,o<<aniibiishibagw2>>omishining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odaniibiishibagomishining,o<<aniibiishibagw2>>omishining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nindaniibiishibagoonzhishing,ni<<aniibiishibagw2>>oonzhishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nindaniibiishibagoonzhishinaang,ni<<aniibiishibagw2>>oonzhishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,Dim,NONE,Pej,NONE,Loc,gidaniibiishibagoonzhishinaang,gi<<aniibiishibagw2>>oonzhishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gidaniibiishibagoonzhishing,gi<<aniibiishibagw2>>oonzhishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gidaniibiishibagoonzhishiwaang,gi<<aniibiishibagw2>>oonzhishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,odaniibiishibagoonzhishing,o<<aniibiishibagw2>>oonzhishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,odaniibiishibagoonzhishiwaang,o<<aniibiishibagw2>>oonzhishiwaang,JDN-2010-Nouns,,,
