,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
25,NA,NA_VVw,ikwe,ikwew2,NONE,Dim,NONE,Pej,NONE,ObvPl,ikwenzhisha',<<ikwew2>>nzhisha',JDN-2010-Nouns,ikwenzhishan,<<ikwew2>>nzhishan,JDN-2010-Nouns
31,NA,NA_VVw,ikwe,ikwew2,NONE,Dim,NONE,NONE,Pret,ObvPl,ikwensibanii',<<ikwew2>>nsibanii',JDN-2010-Nouns,ikwensibaniin,<<ikwew2>>nsibaniin,JDN-2010-Nouns
51,NA,NA_VVw,ikwe,ikwew2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nindikwewa',ni<<ikwew2>>a',JDN-2010-Nouns,nindikwewan,ni<<ikwew2>>an,JDN-2010-Nouns
52,NA,NA_VVw,ikwe,ikwew2,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nindikwenaani',ni<<ikwew2>>naani',JDN-2010-Nouns,nindikwenaanin,ni<<ikwew2>>naanin,JDN-2010-Nouns
53,NA,NA_VVw,ikwe,ikwew2,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gidikwenaani',gi<<ikwew2>>naani',JDN-2010-Nouns,gidikwenaanin,gi<<ikwew2>>naanin,JDN-2010-Nouns
54,NA,NA_VVw,ikwe,ikwew2,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gidikwewa',gi<<ikwew2>>a',JDN-2010-Nouns,gidikwewan,gi<<ikwew2>>an,JDN-2010-Nouns
55,NA,NA_VVw,ikwe,ikwew2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gidikwewaa',gi<<ikwew2>>waa',JDN-2010-Nouns,gidikwewaan,gi<<ikwew2>>waan,JDN-2010-Nouns
56,NA,NA_VVw,ikwe,ikwew2,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,odikwewa',o<<ikwew2>>a',JDN-2010-Nouns,odikwewan,o<<ikwew2>>an,JDN-2010-Nouns
57,NA,NA_VVw,ikwe,ikwew2,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,odikwewaa',o<<ikwew2>>waa',JDN-2010-Nouns,odikwewaan,o<<ikwew2>>waan,JDN-2010-Nouns
58,NA,NA_VVw,ikwe,ikwew2,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,odikweni,o<<ikwew2>>niw1,JDN-2010-Nouns,odikweni,o<<ikwew2>>niw1,JDN-2010-Nouns
59,NA,NA_VVw,ikwe,ikwew2,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,odikweni,o<<ikwew2>>niw1,GUESS,odikweni,o<<ikwew2>>niw1,GUESS
