Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,omashkikiinsiming,o<<mashkikiw2>>V1nsiming,JDN-2010-Nouns,omashkikiwensiming,o<<mashkikiw2>>ensiming,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,omashkikiinsimiwaang,o<<mashkikiw2>>V1nsimiwaang,JDN-2010-Nouns,omashkikiwensimiwaang,o<<mashkikiw2>>ensimiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,omashkikiinsimining,o<<mashkikiw2>>V1nsimining,JDN-2010-Nouns,omashkikiwensimining,o<<mashkikiw2>>ensimining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,omashkikiinsimining,o<<mashkikiw2>>V1nsimining,GUESS,omashkikiwensimining,o<<mashkikiw2>>ensimining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,NONE,NONE,Pej,NONE,Loc,nimashkikiwishing,ni<<mashkikiw2>>ishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,NONE,NONE,Pej,NONE,Loc,nimashkikiwishinaang,ni<<mashkikiw2>>ishinaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,NONE,NONE,Pej,NONE,Loc,gimashkikiwishinaang,gi<<mashkikiw2>>ishinaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,NONE,NONE,Pej,NONE,Loc,gimashkikiwishing,gi<<mashkikiw2>>ishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimashkikiwishiwaang,gi<<mashkikiw2>>ishiwaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,omashkikiwishing,o<<mashkikiw2>>ishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,omashkikiwishiwaang,o<<mashkikiw2>>ishiwaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,omashkikiwishining,o<<mashkikiw2>>ishining,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,omashkikiwishining,o<<mashkikiw2>>ishining,GUESS,,,
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,NONE,Poss,Pej,NONE,Loc,nimashkikiimishing,ni<<mashkikiw2>>V1mishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,NONE,Poss,Pej,NONE,Loc,nimashkikiimishinaang,ni<<mashkikiw2>>V1mishinaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,NONE,Poss,Pej,NONE,Loc,gimashkikiimishinaang,gi<<mashkikiw2>>V1mishinaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,NONE,Poss,Pej,NONE,Loc,gimashkikiimishing,gi<<mashkikiw2>>V1mishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimashkikiimishiwaang,gi<<mashkikiw2>>V1mishiwaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,omashkikiimishing,o<<mashkikiw2>>V1mishing,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,omashkikiimishiwaang,o<<mashkikiw2>>V1mishiwaang,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,omashkikiimishining,o<<mashkikiw2>>V1mishining,JDN-2010-Nouns,,,
NI,NI_Vw,mashkiki,mashkikiw2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,omashkikiimishining,o<<mashkikiw2>>V1mishining,GUESS,,,
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nimashkikiinzhishing,ni<<mashkikiw2>>V1nzhishing,JDN-2010-Nouns,nimashkikiwenzhishing,ni<<mashkikiw2>>enzhishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nimashkikiinzhishinaang,ni<<mashkikiw2>>V1nzhishinaang,JDN-2010-Nouns,nimashkikiwenzhishinaang,ni<<mashkikiw2>>enzhishinaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,Dim,NONE,Pej,NONE,Loc,gimashkikiinzhishinaang,gi<<mashkikiw2>>V1nzhishinaang,JDN-2010-Nouns,gimashkikiwenzhishinaang,gi<<mashkikiw2>>enzhishinaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gimashkikiinzhishing,gi<<mashkikiw2>>V1nzhishing,JDN-2010-Nouns,gimashkikiwenzhishing,gi<<mashkikiw2>>enzhishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimashkikiinzhishiwaang,gi<<mashkikiw2>>V1nzhishiwaang,JDN-2010-Nouns,gimashkikiwenzhishiwaang,gi<<mashkikiw2>>enzhishiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,omashkikiinzhishing,o<<mashkikiw2>>V1nzhishing,JDN-2010-Nouns,omashkikiwenzhishing,o<<mashkikiw2>>enzhishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,omashkikiinzhishiwaang,o<<mashkikiw2>>V1nzhishiwaang,JDN-2010-Nouns,omashkikiwenzhishiwaang,o<<mashkikiw2>>enzhishiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,omashkikiinzhishining,o<<mashkikiw2>>V1nzhishining,JDN-2010-Nouns,omashkikiwenzhishining,o<<mashkikiw2>>enzhishining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,omashkikiinzhishining,o<<mashkikiw2>>V1nzhishining,GUESS,omashkikiwenzhishining,o<<mashkikiw2>>enzhishining,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nimashkikiinsimishing,ni<<mashkikiw2>>V1nsimishing,JDN-2010-Nouns,nimashkikiwensimishing,ni<<mashkikiw2>>ensimishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nimashkikiinsimishinaang,ni<<mashkikiw2>>V1nsimishinaang,JDN-2010-Nouns,nimashkikiwensimishinaang,ni<<mashkikiw2>>ensimishinaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,InclPoss,Dim,Poss,Pej,NONE,Loc,gimashkikiinsimishinaang,gi<<mashkikiw2>>V1nsimishinaang,JDN-2010-Nouns,gimashkikiwensimishinaang,gi<<mashkikiw2>>ensimishinaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gimashkikiinsimishing,gi<<mashkikiw2>>V1nsimishing,JDN-2010-Nouns,gimashkikiwensimishing,gi<<mashkikiw2>>ensimishing,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimashkikiinsimishiwaang,gi<<mashkikiw2>>V1nsimishiwaang,JDN-2010-Nouns,gimashkikiwensimishiwaang,gi<<mashkikiw2>>ensimishiwaang,GUESS
NI,NI_Vw,mashkiki,mashkikiw2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,omashkikiinsimishing,o<<mashkikiw2>>V1nsimishing,JDN-2010-Nouns,omashkikiwensimishing,o<<mashkikiw2>>ensimishing,GUESS
