Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,NONE,NONE,NONE,Pl,nimashkimodensan,ni<<mashkimod>>ensan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,NONE,NONE,NONE,Pl,nimashkimodensinaanin,ni<<mashkimod>>ensinaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,NONE,NONE,NONE,Pl,gimashkimodensinaanin,gi<<mashkimod>>ensinaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,NONE,NONE,NONE,Pl,gimashkimodensan,gi<<mashkimod>>ensan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,NONE,NONE,NONE,Pl,gimashkimodensiwaan,gi<<mashkimod>>ensiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,omashkimodensan,o<<mashkimod>>ensan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,omashkimodensiwaan,o<<mashkimod>>ensiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,omashkimodensini,o<<mashkimod>>ensiniw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,omashkimodensini,o<<mashkimod>>ensiniw1,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,Dim,Poss,NONE,NONE,Pl,nimashkimodensiman,ni<<mashkimod>>ensiman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,Dim,Poss,NONE,NONE,Pl,nimashkimodensiminaanin,ni<<mashkimod>>ensiminaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,Dim,Poss,NONE,NONE,Pl,gimashkimodensiminaanin,gi<<mashkimod>>ensiminaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,Dim,Poss,NONE,NONE,Pl,gimashkimodensiman,gi<<mashkimod>>ensiman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,Dim,Poss,NONE,NONE,Pl,gimashkimodensimiwaan,gi<<mashkimod>>ensimiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,omashkimodensiman,o<<mashkimod>>ensiman,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,omashkimodensimiwaan,o<<mashkimod>>ensimiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,omashkimodensimini,o<<mashkimod>>ensiminiw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,omashkimodensimini,o<<mashkimod>>ensiminiw1,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,Pej,NONE,Pl,nimashkimodaashan,ni<<mashkimod>>aashan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,Pej,NONE,Pl,nimashkimodaashinaanin,ni<<mashkimod>>aashinaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,Pej,NONE,Pl,gimashkimodaashinaanin,gi<<mashkimod>>aashinaanin,JDN-2010-Nouns
