,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
246,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,Poss,Pej,NONE,Loc,nindasiniimishinaang,ni<<asiny2>>iimishinaang,JDN-2010-Nouns,,,
247,NA,NA_Cy,asin,asiny2,InclPoss,NONE,Poss,Pej,NONE,Loc,gidasiniimishinaang,gi<<asiny2>>iimishinaang,JDN-2010-Nouns,,,
248,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,Poss,Pej,NONE,Loc,gidasiniimishing,gi<<asiny2>>iimishing,JDN-2010-Nouns,,,
249,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gidasiniimishiwaang,gi<<asiny2>>iimishiwaang,JDN-2010-Nouns,,,
250,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,odasiniimishing,o<<asiny2>>iimishing,JDN-2010-Nouns,,,
251,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,odasiniimishiwaang,o<<asiny2>>iimishiwaang,JDN-2010-Nouns,,,
252,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,odasiniimishining,o<<asiny2>>iimishining,JDN-2010-Nouns,,,
253,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,odasiniimishining,o<<asiny2>>iimishining,GUESS,,,
394,NA,NA_Cy,asin,asiny2,1SgPoss,Dim,NONE,Pej,NONE,Loc,nindasiniinzhishing,ni<<asiny2>>iinzhishing,JDN-2010-Nouns,,,
395,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,NONE,Pej,NONE,Loc,nindasiniinzhishinaang,ni<<asiny2>>iinzhishinaang,JDN-2010-Nouns,,,
396,NA,NA_Cy,asin,asiny2,InclPoss,Dim,NONE,Pej,NONE,Loc,gidasiniinzhishinaang,gi<<asiny2>>iinzhishinaang,JDN-2010-Nouns,,,
397,NA,NA_Cy,asin,asiny2,2SgPoss,Dim,NONE,Pej,NONE,Loc,gidasiniinzhishing,gi<<asiny2>>iinzhishing,JDN-2010-Nouns,,,
398,NA,NA_Cy,asin,asiny2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gidasiniinzhishiwaang,gi<<asiny2>>iinzhishiwaang,JDN-2010-Nouns,,,
399,NA,NA_Cy,asin,asiny2,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,odasiniinzhishing,o<<asiny2>>iinzhishing,JDN-2010-Nouns,,,
400,NA,NA_Cy,asin,asiny2,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,odasiniinzhishiwaang,o<<asiny2>>iinzhishiwaang,JDN-2010-Nouns,,,
401,NA,NA_Cy,asin,asiny2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,odasiniinzhishining,o<<asiny2>>iinzhishining,JDN-2010-Nouns,,,
402,NA,NA_Cy,asin,asiny2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,odasiniinzhishining,o<<asiny2>>iinzhishining,GUESS,,,
431,NA,NA_Cy,asin,asiny2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nindasiniinsimishing,ni<<asiny2>>iinsimishing,JDN-2010-Nouns,,,
432,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nindasiniinsimishinaang,ni<<asiny2>>iinsimishinaang,JDN-2010-Nouns,,,
433,NA,NA_Cy,asin,asiny2,InclPoss,Dim,Poss,Pej,NONE,Loc,gidasiniinsimishinaang,gi<<asiny2>>iinsimishinaang,JDN-2010-Nouns,,,
434,NA,NA_Cy,asin,asiny2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gidasiniinsimishing,gi<<asiny2>>iinsimishing,JDN-2010-Nouns,,,
435,NA,NA_Cy,asin,asiny2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gidasiniinsimishiwaang,gi<<asiny2>>iinsimishiwaang,JDN-2010-Nouns,,,
436,NA,NA_Cy,asin,asiny2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,odasiniinsimishing,o<<asiny2>>iinsimishing,JDN-2010-Nouns,,,
437,NA,NA_Cy,asin,asiny2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,odasiniinsimishiwaang,o<<asiny2>>iinsimishiwaang,JDN-2010-Nouns,,,
438,NA,NA_Cy,asin,asiny2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,odasiniinsimishining,o<<asiny2>>iinsimishining,JDN-2010-Nouns,,,
439,NA,NA_Cy,asin,asiny2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,odasiniinsimishining,o<<asiny2>>iinsimishining,GUESS,,,
3,NA,NA_Cy,asin,asiny2,NONE,NONE,NONE,NONE,NONE,ObvPl,asinii',<<asiny2>>ii',JDN-2010-Nouns,asiniin,<<asiny2>>iin,JDN-2010-Nouns
9,NA,NA_Cy,asin,asiny2,NONE,Dim,NONE,NONE,NONE,ObvPl,asiniinsa',<<asiny2>>iinsa',JDN-2010-Nouns,asiniinsan,<<asiny2>>iinsan,JDN-2010-Nouns
15,NA,NA_Cy,asin,asiny2,NONE,NONE,NONE,Pej,NONE,ObvPl,asiniisha',<<asiny2>>iisha',JDN-2010-Nouns,asiniishan,<<asiny2>>iishan,JDN-2010-Nouns
21,NA,NA_Cy,asin,asiny2,NONE,NONE,NONE,NONE,Pret,ObvPl,asiniibanii',<<asiny2>>iibanii',JDN-2010-Nouns,asiniibaniin,<<asiny2>>iibaniin,JDN-2010-Nouns
25,NA,NA_Cy,asin,asiny2,NONE,Dim,NONE,Pej,NONE,ObvPl,asiniinzhisha',<<asiny2>>iinzhisha',JDN-2010-Nouns,asiniinzhishan,<<asiny2>>iinzhishan,JDN-2010-Nouns
