Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,ogiigoonyenzhishing,o<<giigoonhy1>>enzhishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,ogiigoonyenzhishiwaang,o<<giigoonhy1>>enzhishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,ogiigoonyenzhishining,o<<giigoonhy1>>enzhishining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,ogiigoonyenzhishining,o<<giigoonhy1>>enzhishining,GUESS,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,Poss,Pej,NONE,Loc,ningiigoonyensimishing,ni<<giigoonhy1>>ensimishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,Poss,Pej,NONE,Loc,ningiigoonyensimishinaang,ni<<giigoonhy1>>ensimishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,Poss,Pej,NONE,Loc,gigiigoonyensimishinaang,gi<<giigoonhy1>>ensimishinaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,Poss,Pej,NONE,Loc,gigiigoonyensimishing,gi<<giigoonhy1>>ensimishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,Poss,Pej,NONE,Loc,gigiigoonyensimishiwaang,gi<<giigoonhy1>>ensimishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,ogiigoonyensimishing,o<<giigoonhy1>>ensimishing,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,ogiigoonyensimishiwaang,o<<giigoonhy1>>ensimishiwaang,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,ogiigoonyensimishining,o<<giigoonhy1>>ensimishining,JDN-2010-Nouns,,,,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,ogiigoonyensimishining,o<<giigoonhy1>>ensimishining,GUESS,,,,,,
