,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
169,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,NONE,Pej,NONE,ObvPl,gimaamaayishinaani',g<<maamaay1>>ishinaani',JDN-2010-Nouns,gimaamaayishinaanin,g<<maamaay1>>ishinaanin,JDN-2010-Nouns
170,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,NONE,Pej,NONE,ObvPl,gimaamaayisha',g<<maamaay1>>isha',JDN-2010-Nouns,gimaamaayishan,g<<maamaay1>>ishan,JDN-2010-Nouns
171,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gimaamaayishiwaa',g<<maamaay1>>ishiwaa',JDN-2010-Nouns,gimaamaayishiwaan,g<<maamaay1>>ishiwaan,JDN-2010-Nouns
172,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,NONE,Pej,NONE,ObvPl,omaamaayisha',w<<maamaay1>>isha',JDN-2010-Nouns,omaamaayishan,w<<maamaay1>>ishan,JDN-2010-Nouns
173,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,NONE,Pej,NONE,ObvPl,omaamaayishiwaa',w<<maamaay1>>ishiwaa',JDN-2010-Nouns,omaamaayishiwaan,w<<maamaay1>>ishiwaan,JDN-2010-Nouns
174,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,NONE,Pej,NONE,ObvPl,omaamaayishini,w<<maamaay1>>ishiniw1,JDN-2010-Nouns,omaamaayishini,w<<maamaay1>>ishiniw1,JDN-2010-Nouns
175,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,NONE,Pej,NONE,ObvPl,omaamaayishini,w<<maamaay1>>ishiniw1,GUESS,omaamaayishini,w<<maamaay1>>ishiniw1,GUESS
204,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,nimaamaayimisha',n<<maamaay1>>imisha',JDN-2010-Nouns,nimaamaayimishan,n<<maamaay1>>imishan,JDN-2010-Nouns
205,NAD,NAD_C,maamaa,maamaay1,ExclPoss,NONE,Poss,Pej,NONE,ObvPl,nimaamaayimishinaani',n<<maamaay1>>imishinaani',JDN-2010-Nouns,nimaamaayimishinaanin,n<<maamaay1>>imishinaanin,JDN-2010-Nouns
206,NAD,NAD_C,maamaa,maamaay1,InclPoss,NONE,Poss,Pej,NONE,ObvPl,gimaamaayimishinaani',g<<maamaay1>>imishinaani',JDN-2010-Nouns,gimaamaayimishinaanin,g<<maamaay1>>imishinaanin,JDN-2010-Nouns
207,NAD,NAD_C,maamaa,maamaay1,2SgPoss,NONE,Poss,Pej,NONE,ObvPl,gimaamaayimisha',g<<maamaay1>>imisha',JDN-2010-Nouns,gimaamaayimishan,g<<maamaay1>>imishan,JDN-2010-Nouns
208,NAD,NAD_C,maamaa,maamaay1,2PlPoss,NONE,Poss,Pej,NONE,ObvPl,gimaamaayimishiwaa',g<<maamaay1>>imishiwaa',JDN-2010-Nouns,gimaamaayimishiwaan,g<<maamaay1>>imishiwaan,JDN-2010-Nouns
209,NAD,NAD_C,maamaa,maamaay1,3SgProxPoss,NONE,Poss,Pej,NONE,ObvPl,omaamaayimisha',w<<maamaay1>>imisha',JDN-2010-Nouns,omaamaayimishan,w<<maamaay1>>imishan,JDN-2010-Nouns
210,NAD,NAD_C,maamaa,maamaay1,3PlProxPoss,NONE,Poss,Pej,NONE,ObvPl,omaamaayimishiwaa',w<<maamaay1>>imishiwaa',JDN-2010-Nouns,omaamaayimishiwaan,w<<maamaay1>>imishiwaan,JDN-2010-Nouns
211,NAD,NAD_C,maamaa,maamaay1,3SgObvPoss,NONE,Poss,Pej,NONE,ObvPl,omaamaayimishini,w<<maamaay1>>imishiniw1,JDN-2010-Nouns,omaamaayimishini,w<<maamaay1>>imishiniw1,JDN-2010-Nouns
212,NAD,NAD_C,maamaa,maamaay1,3PlObvPoss,NONE,Poss,Pej,NONE,ObvPl,omaamaayimishini,w<<maamaay1>>imishiniw1,GUESS,omaamaayimishini,w<<maamaay1>>imishiniw1,GUESS
241,NAD,NAD_C,maamaa,maamaay1,1SgPoss,NONE,NONE,NONE,Pret,ObvPl,nimaamaayibanii',n<<maamaay1>>ibanii',JDN-2010-Nouns,nimaamaayibaniin,n<<maamaay1>>ibaniin,JDN-2010-Nouns
