Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,Poss,NA,NA,Pl,ojiimaanimini,o<<jiimaan>>imini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,Poss,NA,NA,Sg,nijiimaanim,ni<<jiimaan>>im,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,Poss,NA,NA,Sg,nijiimaaniminaan,ni<<jiimaan>>iminaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,Poss,NA,NA,Sg,gijiimaaniminaan,gi<<jiimaan>>iminaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,Poss,NA,NA,Sg,gijiimaanim,gi<<jiimaan>>im,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,Poss,NA,NA,Sg,gijiimaanimiwaa,gi<<jiimaan>>imiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,Poss,NA,NA,Sg,ojiimaanim,o<<jiimaan>>im,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,Poss,NA,NA,Sg,ojiimaanimiwaa,o<<jiimaan>>imiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,Poss,NA,NA,Sg,ojiimaanimini,o<<jiimaan>>imini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,Poss,NA,NA,Sg,ojiimaanimini,o<<jiimaan>>imini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,Poss,NA,NA,Loc,nijiimaaniming,ni<<jiimaan>>iming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,Poss,NA,NA,Loc,nijiimaaniminaang,ni<<jiimaan>>iminaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,Poss,NA,NA,Loc,gijiimaaniminaang,gi<<jiimaan>>iminaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,Poss,NA,NA,Loc,gijiimaaniming,gi<<jiimaan>>iming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,Poss,NA,NA,Loc,gijiimaanimiwaang,gi<<jiimaan>>imiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,Poss,NA,NA,Loc,ojiimaaniming,o<<jiimaan>>iming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,Poss,NA,NA,Loc,ojiimaanimiwaang,o<<jiimaan>>imiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,Poss,NA,NA,Loc,ojiimaanimining,o<<jiimaan>>imining,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,Poss,NA,NA,Loc,ojiimaanimining,o<<jiimaan>>imining,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,NA,NA,NA,Pl,nijiimaanensan,ni<<jiimaan>>ensan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,NA,NA,NA,Pl,nijiimaanensinaanin,ni<<jiimaan>>ensinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,NA,NA,NA,Pl,gijiimaanensinaanin,gi<<jiimaan>>ensinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,NA,NA,NA,Pl,gijiimaanensan,gi<<jiimaan>>ensan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,NA,NA,NA,Pl,gijiimaanensiwaan,gi<<jiimaan>>ensiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,NA,NA,NA,Pl,ojiimaanensan,o<<jiimaan>>ensan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,NA,NA,NA,Pl,ojiimaanensiwaan,o<<jiimaan>>ensiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,NA,NA,NA,Pl,ojiimaanensini,o<<jiimaan>>ensini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,NA,NA,NA,Pl,ojiimaanensini,o<<jiimaan>>ensini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,NA,NA,NA,Sg,nijiimaanens,ni<<jiimaan>>ens,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,NA,NA,NA,Sg,nijiimaanensinaan,ni<<jiimaan>>ensinaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,NA,NA,NA,Sg,gijiimaanensinaan,gi<<jiimaan>>ensinaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,NA,NA,NA,Sg,gijiimaanens,gi<<jiimaan>>ens,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,NA,NA,NA,Sg,gijiimaanensiwaa,gi<<jiimaan>>ensiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,NA,NA,NA,Sg,ojiimaanens,o<<jiimaan>>ens,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,NA,NA,NA,Sg,ojiimaanensiwaa,o<<jiimaan>>ensiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,NA,NA,NA,Sg,ojiimaanensini,o<<jiimaan>>ensini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,NA,NA,NA,Sg,ojiimaanensini,o<<jiimaan>>ensini,GUESS
