Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cy,anit,anity2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,odanitiinsimishining,o<<anity2>>iinsimishining,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,odanitiinsimishining,o<<anity2>>iinsimishining,GUESS,,,
NI,NI_Cy,anit,anity2,NONE,NONE,NONE,NONE,NONE,Pl,anitiin,<<anity2>>iin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,Dim,NONE,NONE,NONE,Pl,anitiinsan,<<anity2>>iinsan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,NONE,NONE,Pej,NONE,Pl,anitiishan,<<anity2>>iishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,NONE,Dim,NONE,Pej,NONE,Pl,anitiinzhishan,<<anity2>>iinzhishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,NONE,NONE,NONE,Pl,nindanitiin,ni<<anity2>>iin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,NONE,NONE,NONE,Pl,nindanitiinaanin,ni<<anity2>>iinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,NONE,NONE,NONE,Pl,gidanitiinaanin,gi<<anity2>>iinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,NONE,NONE,NONE,Pl,gidanitiin,gi<<anity2>>iin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,NONE,NONE,NONE,Pl,gidanitiiwaan,gi<<anity2>>iiwaan,JDN-2010-Nouns,,,
