,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
59,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,odanishinaabeni,o<<anishinaabew2>>niw1,GUESS,odanishinaabeni,o<<anishinaabew2>>niw1,GUESS
88,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nindanishinaabema',ni<<anishinaabew2>>ma',JDN-2010-Nouns,nindanishinaabeman,ni<<anishinaabew2>>man,JDN-2010-Nouns
89,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,nindanishinaabeminaani',ni<<anishinaabew2>>minaani',JDN-2010-Nouns,nindanishinaabeminaanin,ni<<anishinaabew2>>minaanin,JDN-2010-Nouns
90,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,Poss,NONE,NONE,ObvPl,gidanishinaabeminaani',gi<<anishinaabew2>>minaani',JDN-2010-Nouns,gidanishinaabeminaanin,gi<<anishinaabew2>>minaanin,JDN-2010-Nouns
91,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,gidanishinaabema',gi<<anishinaabew2>>ma',JDN-2010-Nouns,gidanishinaabeman,gi<<anishinaabew2>>man,JDN-2010-Nouns
92,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gidanishinaabemiwaa',gi<<anishinaabew2>>miwaa',JDN-2010-Nouns,gidanishinaabemiwaan,gi<<anishinaabew2>>miwaan,JDN-2010-Nouns
93,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,odanishinaabema',o<<anishinaabew2>>ma',JDN-2010-Nouns,odanishinaabeman,o<<anishinaabew2>>man,JDN-2010-Nouns
94,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,odanishinaabemiwaa',o<<anishinaabew2>>miwaa',JDN-2010-Nouns,odanishinaabemiwaan,o<<anishinaabew2>>miwaan,JDN-2010-Nouns
95,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,odanishinaabemini,o<<anishinaabew2>>miniw1,JDN-2010-Nouns,odanishinaabemini,o<<anishinaabew2>>miniw1,JDN-2010-Nouns
96,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,odanishinaabemini,o<<anishinaabew2>>miniw1,GUESS,odanishinaabemini,o<<anishinaabew2>>miniw1,GUESS
125,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nindanishinaabensa',ni<<anishinaabew2>>nsa',JDN-2010-Nouns,nindanishinaabensan,ni<<anishinaabew2>>nsan,JDN-2010-Nouns
126,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,nindanishinaabensinaani',ni<<anishinaabew2>>nsinaani',JDN-2010-Nouns,nindanishinaabensinaanin,ni<<anishinaabew2>>nsinaanin,JDN-2010-Nouns
127,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,NONE,NONE,NONE,ObvPl,gidanishinaabensinaani',gi<<anishinaabew2>>nsinaani',JDN-2010-Nouns,gidanishinaabensinaanin,gi<<anishinaabew2>>nsinaanin,JDN-2010-Nouns
128,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,gidanishinaabensa',gi<<anishinaabew2>>nsa',JDN-2010-Nouns,gidanishinaabensan,gi<<anishinaabew2>>nsan,JDN-2010-Nouns
129,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gidanishinaabensiwaa',gi<<anishinaabew2>>nsiwaa',JDN-2010-Nouns,gidanishinaabensiwaan,gi<<anishinaabew2>>nsiwaan,JDN-2010-Nouns
130,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,odanishinaabensa',o<<anishinaabew2>>nsa',JDN-2010-Nouns,odanishinaabensan,o<<anishinaabew2>>nsan,JDN-2010-Nouns
